                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.6578,                 6.4069,                 4.3905,                0.00026,                0.07692,                0.00016,                  4e-05,                 4.3249,                 5.6863,                 4.1436,                 0.0865,                 0.0015,                 0.0015
                      1,                 4.4161,                 5.1441,                 4.3338,                0.00026,                0.07692,                0.00016,                  4e-05,                 4.2952,                 5.6055,                 4.1204,               0.072069,              0.0030693,              0.0030693
                      2,                 4.3695,                 4.8174,                  4.237,                0.00026,                0.07692,                0.00017,                  4e-05,                 4.2703,                 4.2537,                 4.1018,               0.057607,              0.0046069,              0.0046069
                      3,                 4.1547,                 4.5114,                 4.1277,                0.00026,                0.07692,                0.00017,                  4e-05,                 4.2512,                 4.2538,                 4.0887,               0.043113,              0.0061129,              0.0061129
                      4,                 4.1448,                 4.3543,                 4.0316,                0.00026,                0.07692,                0.00017,                  4e-05,                 4.2374,                 4.3226,                 4.0822,               0.028587,              0.0075872,              0.0075872
                      5,                 3.8149,                 4.0266,                  3.824,                0.00026,                0.07692,                0.00017,                  4e-05,                 4.2291,                 4.3276,                 4.0808,                0.01403,              0.0090297,              0.0090297
                      6,                 3.7345,                  3.846,                 3.6282,                0.03715,                0.02564,                0.03733,                0.01241,                 3.2826,                 3.9431,                 3.5675,               0.009406,               0.009406,               0.009406
                      7,                 3.4384,                 3.7468,                 3.4428,                 0.0017,                0.41026,                0.00979,                0.00352,                 3.2491,                 4.0769,                 3.6527,               0.009406,               0.009406,               0.009406
                      8,                  3.362,                 3.4375,                  3.282,                0.00147,                0.33333,                0.00098,                0.00025,                 3.7626,                    inf,                 8.5605,               0.009307,               0.009307,               0.009307
                      9,                  3.057,                 3.2751,                 3.1856,                0.09711,                0.25641,                0.11094,                0.03563,                 3.4706,                 10.453,                 4.2476,               0.009208,               0.009208,               0.009208
                     10,                 2.9229,                 3.1205,                  3.047,                0.03238,                 0.4359,                 0.0183,                0.00634,                 3.2125,                    inf,                 7.8161,               0.009109,               0.009109,               0.009109
                     11,                 3.0972,                 2.7741,                  2.961,                   0.15,                0.07692,                0.06359,                0.02521,                 3.4513,                 214.39,                 4.6558,                0.00901,                0.00901,                0.00901
                     12,                 2.8578,                 2.7036,                 2.8981,                    0.5,                0.02564,                0.03134,                0.01105,                 3.2993,                    inf,                 5.7739,               0.008911,               0.008911,               0.008911
                     13,                 2.7441,                 2.6107,                 2.7731,                0.15902,                0.25641,                 0.1014,                0.03651,                 2.7192,                 9.8423,                 3.7521,               0.008812,               0.008812,               0.008812
                     14,                 2.6661,                 2.5085,                  2.786,                0.14119,                0.33333,                0.13895,                0.04701,                 2.8595,                 15.758,                 4.0189,               0.008713,               0.008713,               0.008713
                     15,                 2.6762,                  2.198,                 2.6766,                0.37656,                0.20513,                0.19435,                0.06022,                 2.9475,                 3.5689,                 3.8004,               0.008614,               0.008614,               0.008614
                     16,                 2.4926,                   2.14,                 2.5378,                0.37323,                0.47346,                0.43632,                0.16536,                 2.2835,                 2.3055,                 2.7098,               0.008515,               0.008515,               0.008515
                     17,                 2.3153,                 2.0657,                 2.4484,                0.42499,                0.30769,                0.33226,                0.14036,                  2.381,                 5.6249,                 2.8249,               0.008416,               0.008416,               0.008416
                     18,                 2.3715,                 1.9914,                 2.4303,                0.44611,                0.41026,                0.39094,                0.16636,                 2.2383,                 2.8127,                 2.6792,               0.008317,               0.008317,               0.008317
                     19,                 2.2627,                 1.9551,                 2.3491,                0.57282,                0.48718,                0.46377,                0.15828,                 2.2572,                  2.192,                 2.6795,               0.008218,               0.008218,               0.008218
                     20,                 2.1696,                 1.8183,                 2.3372,                0.48963,                0.51282,                0.50463,                0.20456,                 2.0502,                 3.4954,                 2.5833,               0.008119,               0.008119,               0.008119
                     21,                 2.1322,                 1.8153,                 2.2779,                0.57759,                0.52609,                0.47143,                0.17559,                 2.2039,                 2.5888,                 2.6162,                0.00802,                0.00802,                0.00802
                     22,                 2.1198,                 1.7952,                 2.3016,                0.63115,                0.53846,                0.58401,                0.23079,                 2.2394,                 3.0565,                 2.6311,               0.007921,               0.007921,               0.007921
                     23,                 2.0806,                  1.696,                 2.2631,                0.71682,                0.58429,                0.67068,                0.31863,                 1.9997,                 2.1529,                 2.4656,               0.007822,               0.007822,               0.007822
                     24,                 1.9506,                  1.643,                 2.1397,                0.64984,                0.57116,                0.64648,                0.25179,                 2.0708,                 3.9683,                 2.5346,               0.007723,               0.007723,               0.007723
                     25,                 1.9744,                 1.6535,                 2.0966,                0.62423,                0.51282,                0.56663,                 0.2739,                  2.007,                 2.7627,                 2.4121,               0.007624,               0.007624,               0.007624
                     26,                 1.8933,                 1.5386,                 2.0348,                0.41663,                0.61538,                0.52742,                0.19171,                 2.1868,                 2.0556,                 2.5167,               0.007525,               0.007525,               0.007525
                     27,                 1.9627,                 1.5714,                 2.0808,                0.91457,                0.53846,                0.72107,                0.35295,                 1.9499,                 1.6921,                 2.3943,               0.007426,               0.007426,               0.007426
                     28,                 1.8833,                 1.4598,                 2.0055,                0.83419,                0.58974,                0.71276,                0.40527,                 1.8065,                 1.7052,                 2.3918,               0.007327,               0.007327,               0.007327
