                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9665,                 3.2894,                 3.6536,                0.20635,                0.18114,                0.14018,                0.04652,                 2.5725,                 3.1141,                 3.3172,             0.00066491,             0.00066491,             0.00066491
                      2,                 2.0206,                  2.124,                 2.5154,                0.73976,                0.56829,                 0.5951,                0.28778,                 1.6896,                 2.7765,                 2.4334,              0.0013184,              0.0013184,              0.0013184
                      3,                 1.6727,                 1.6646,                 2.1227,                 0.7656,                0.62813,                0.68386,                0.34657,                  1.806,                  1.512,                 2.4883,              0.0019587,              0.0019587,              0.0019587
                      4,                 1.5457,                 1.4791,                 1.9712,                0.84635,                0.69741,                0.74475,                0.44374,                 1.5271,                 1.2195,                 2.1565,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4738,                 1.3601,                 1.8728,                0.82334,                0.67988,                0.71715,                0.44484,                 1.4744,                 1.2534,                 2.0683,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4238,                 1.2978,                 1.8136,                0.83827,                0.70701,                0.74837,                0.45824,                 1.4935,                 1.1567,                 2.0987,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.377,                 1.2472,                 1.7753,                0.87747,                0.71369,                 0.7617,                0.49318,                 1.3687,                 1.0992,                 1.9704,               0.001901,               0.001901,               0.001901
                      8,                 1.3374,                 1.1972,                 1.7391,                0.86822,                0.71578,                0.75809,                0.47331,                 1.4559,                 1.0641,                 2.1415,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3104,                 1.1457,                 1.7166,                0.83954,                0.73748,                0.76272,                0.50494,                  1.289,                 1.0337,                 1.9131,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2823,                 1.1148,                 1.6822,                0.87118,                0.73331,                 0.7797,                0.51161,                 1.3029,                0.99293,                 1.8803,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2776,                 1.1009,                 1.6776,                0.85861,                0.73501,                0.78407,                0.50681,                 1.3074,                0.95528,                 1.9489,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2418,                 1.0694,                 1.6526,                0.85187,                0.76419,                 0.7864,                0.53617,                 1.2363,                0.92796,                 1.8107,               0.001802,               0.001802,               0.001802
                     13,                 1.2371,                 1.0489,                 1.6386,                0.86294,                0.76206,                0.78899,                0.53131,                 1.2806,                0.93314,                 1.8222,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2289,                 1.0468,                 1.6292,                0.85769,                0.77796,                0.80136,                0.54202,                 1.2083,                0.86548,                 1.7927,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.211,                 1.0236,                  1.615,                0.85657,                0.77268,                0.79659,                0.54072,                 1.2102,                0.89347,                 1.7668,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2106,                 1.0128,                 1.6132,                0.87578,                0.75167,                0.80615,                0.54488,                  1.226,                0.86439,                 1.7949,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2014,                 1.0098,                 1.6043,                 0.8793,                0.75501,                0.79519,                0.54163,                 1.2112,                0.87311,                 1.7808,               0.001703,               0.001703,               0.001703
                     18,                 1.1858,                0.98974,                 1.5891,                0.87541,                0.76419,                0.80184,                0.55995,                 1.1735,                0.87431,                  1.713,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.1765,                0.97253,                 1.5741,                0.84741,                0.78572,                0.80674,                0.56544,                 1.1589,                0.86345,                 1.7083,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1643,                0.96065,                 1.5714,                0.86363,                0.76913,                0.80246,                0.55505,                  1.182,                0.84837,                 1.7519,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1437,                0.94729,                 1.5447,                0.85928,                0.77337,                0.79928,                 0.5587,                 1.1992,                0.86654,                 1.7409,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1488,                0.94066,                 1.5446,                0.86553,                 0.7764,                0.81044,                0.56696,                  1.162,                  0.798,                 1.7087,               0.001604,               0.001604,               0.001604
                     23,                 1.1357,                0.92478,                 1.5452,                0.87148,                 0.7811,                0.81019,                0.56862,                 1.1375,                0.79505,                 1.6987,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1355,                 0.9171,                 1.5384,                0.87002,                0.77945,                0.81626,                0.58086,                 1.1328,                0.79917,                  1.667,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1163,                0.91118,                 1.5275,                0.86051,                0.78798,                0.81629,                0.57987,                 1.1281,                0.79545,                 1.6612,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1062,                 0.8943,                 1.5179,                0.87872,                0.76461,                0.81279,                0.58258,                 1.1159,                0.79682,                 1.6573,              0.0015248,              0.0015248,              0.0015248
                     27,                  1.108,                0.89238,                 1.5184,                0.86889,                0.78552,                0.81328,                0.58503,                 1.1102,                0.77025,                  1.636,               0.001505,               0.001505,               0.001505
                     28,                 1.1063,                0.89593,                 1.5139,                 0.8808,                0.78334,                0.82183,                 0.5936,                  1.093,                 0.7638,                 1.6266,               0.001505,               0.001505,               0.001505
                     29,                 1.0977,                0.89276,                 1.5099,                0.88815,                0.77504,                0.82298,                0.59336,                 1.1008,                0.75966,                 1.6347,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1013,                0.87492,                  1.498,                 0.8857,                 0.7788,                0.82283,                0.59375,                 1.0791,                 0.7571,                 1.6165,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.0969,                0.88333,                 1.5001,                0.85583,                0.79528,                0.82448,                0.58612,                 1.1072,                0.75782,                  1.628,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.0878,                0.86861,                 1.4962,                0.87636,                0.78464,                0.82764,                 0.5969,                 1.0756,                 0.7444,                   1.61,               0.001406,               0.001406,               0.001406
                     33,                 1.0813,                0.86198,                 1.4962,                0.86139,                0.79132,                0.82132,                0.58673,                  1.084,                0.75598,                 1.6409,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.0617,                0.84453,                 1.4856,                0.87768,                 0.7876,                0.82519,                0.59189,                 1.0825,                0.74845,                 1.6105,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.0538,                0.83515,                 1.4737,                0.87974,                0.77922,                0.82504,                0.59682,                 1.0666,                0.73631,                 1.6103,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0617,                0.84155,                 1.4755,                 0.8718,                0.79424,                0.83458,                0.60766,                 1.0587,                0.73465,                 1.5871,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0445,                0.82372,                 1.4688,                0.88143,                0.78673,                0.82991,                 0.6065,                 1.0608,                0.72663,                 1.5875,               0.001307,               0.001307,               0.001307
                     38,                 1.0479,                0.83009,                 1.4651,                0.88777,                0.78589,                0.83166,                0.60446,                 1.0616,                0.72085,                 1.5835,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0436,                0.82845,                  1.462,                0.89375,                0.78289,                0.83372,                0.61109,                 1.0498,                0.71559,                 1.5775,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0403,                0.82071,                   1.46,                0.87164,                0.79637,                 0.8384,                0.61215,                 1.0409,                0.70972,                 1.5521,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0389,                0.82297,                 1.4592,                0.86887,                0.80008,                0.83746,                0.61137,                 1.0551,                0.71226,                  1.587,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0344,                0.82085,                 1.4593,                0.87248,                0.79591,                0.83259,                 0.6134,                 1.0339,                0.70008,                 1.5649,               0.001208,               0.001208,               0.001208
                     43,                 1.0108,                0.80518,                 1.4346,                0.88995,                0.78631,                0.83733,                0.61754,                  1.033,                0.70292,                 1.5674,               0.001208,               0.001208,               0.001208
                     44,                 1.0067,                0.79896,                  1.435,                 0.8835,                0.79447,                0.84204,                0.62078,                 1.0241,                0.69642,                  1.554,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0107,                0.79247,                 1.4276,                0.88245,                0.79758,                0.83615,                0.61793,                 1.0232,                 0.7063,                 1.5533,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0052,                0.79525,                  1.432,                0.88984,                0.78555,                0.83779,                0.61903,                 1.0303,                0.69736,                 1.5521,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0002,                0.78548,                 1.4244,                0.88841,                0.79424,                0.84232,                0.62626,                 1.0105,                0.68586,                 1.5356,               0.001109,               0.001109,               0.001109
                     48,                0.99112,                 0.7783,                 1.4251,                0.87047,                0.80634,                0.83725,                0.61698,                 1.0263,                0.69375,                 1.5732,              0.0010892,              0.0010892,              0.0010892
                     49,                0.98262,                 0.7656,                 1.4246,                0.88993,                0.79299,                 0.8389,                0.62058,                 1.0247,                0.69594,                 1.5574,              0.0010694,              0.0010694,              0.0010694
                     50,                0.97418,                0.75984,                 1.4083,                0.86835,                0.80843,                0.84298,                0.62178,                 1.0115,                0.68385,                 1.5472,              0.0010496,              0.0010496,              0.0010496
                     51,                0.95654,                0.75726,                 1.3969,                0.87579,                0.80635,                 0.8432,                0.62948,                0.99506,                0.67808,                 1.5254,              0.0010496,              0.0010496,              0.0010496
                     52,                0.95289,                0.75635,                 1.3939,                0.88714,                0.79758,                0.84414,                0.63252,                0.99267,                0.67813,                 1.5194,                0.00101,                0.00101,                0.00101
                     53,                0.95053,                0.74123,                  1.383,                0.89557,                0.79633,                0.84534,                0.63118,                  1.004,                0.67385,                 1.5263,              0.0009902,              0.0009902,              0.0009902
                     54,                0.94826,                0.74441,                 1.3909,                0.89695,                0.78798,                0.84401,                 0.6302,                 1.0012,                0.66882,                 1.5282,              0.0009704,              0.0009704,              0.0009704
                     55,                0.94326,                0.73838,                 1.3859,                0.90528,                0.78579,                0.84849,                0.63426,                0.99266,                0.66759,                  1.522,              0.0009506,              0.0009506,              0.0009506
                     56,                0.93552,                0.73173,                 1.3843,                0.89064,                0.80301,                0.84536,                0.63023,                0.99776,                0.66877,                 1.5369,              0.0009308,              0.0009308,              0.0009308
                     57,                0.92763,                 0.7211,                 1.3837,                0.88655,                0.80229,                0.84702,                0.63037,                0.99435,                0.67644,                 1.5308,               0.000911,               0.000911,               0.000911
                     58,                0.92946,                0.71896,                 1.3719,                0.87311,                0.80843,                0.84872,                 0.6324,                0.98777,                0.65838,                 1.5228,              0.0008912,              0.0008912,              0.0008912
                     59,                0.96995,                0.74605,                 1.4014,                0.87578,                0.79841,                0.85035,                0.63592,                0.97973,                0.65393,                 1.5087,              0.0008714,              0.0008714,              0.0008714
                     60,                0.95417,                0.73358,                 1.3955,                0.89567,                 0.7883,                0.84948,                0.63753,                0.98465,                0.66223,                 1.5116,              0.0008516,              0.0008516,              0.0008516
                     61,                0.95988,                0.73748,                 1.3942,                0.89268,                0.79508,                 0.8482,                0.63819,                0.98067,                0.65806,                 1.5038,              0.0008318,              0.0008318,              0.0008318
                     62,                0.94975,                0.73741,                 1.3884,                0.89427,                0.79423,                0.84587,                0.63464,                 0.9841,                0.67084,                 1.5189,               0.000812,               0.000812,               0.000812
                     63,                 0.9412,                0.72688,                 1.3833,                0.90101,                0.79775,                0.84988,                0.63954,                0.97087,                0.65319,                 1.4974,              0.0007922,              0.0007922,              0.0007922
                     64,                0.95085,                0.73968,                 1.3882,                0.89276,                0.80342,                0.85212,                0.64028,                 0.9787,                0.65798,                 1.5035,              0.0007724,              0.0007724,              0.0007724
                     65,                0.94111,                0.73468,                  1.384,                0.90574,                0.78923,                 0.8505,                0.64329,                0.96733,                0.65358,                 1.4956,              0.0007526,              0.0007526,              0.0007526
                     66,                0.95489,                0.73455,                 1.3898,                0.90091,                0.79841,                 0.8535,                0.64204,                0.97268,                0.65995,                 1.4916,              0.0007328,              0.0007328,              0.0007328
                     67,                0.94895,                0.73279,                 1.3824,                 0.9045,                0.79453,                0.85264,                0.64398,                0.96642,                0.65165,                  1.491,               0.000713,               0.000713,               0.000713
                     68,                0.94763,                0.72692,                 1.3841,                0.89526,                0.80259,                0.85605,                0.64757,                0.95754,                0.65028,                 1.4808,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.9324,                 0.7199,                 1.3682,                0.90318,                0.79132,                0.84942,                0.64391,                0.96522,                0.65305,                 1.4946,              0.0006734,              0.0006734,              0.0006734
                     70,                0.93343,                0.71577,                 1.3667,                0.90056,                0.80133,                0.85369,                0.64808,                0.95414,                0.64255,                 1.4813,              0.0006536,              0.0006536,              0.0006536
                     71,                0.92908,                 0.7161,                 1.3723,                0.89935,                0.80176,                0.85589,                0.64737,                0.95408,                0.63562,                 1.4864,              0.0006338,              0.0006338,              0.0006338
                     72,                0.92671,                0.70681,                 1.3679,                0.89924,                  0.798,                0.85597,                0.64942,                 0.9469,                0.63164,                 1.4768,               0.000614,               0.000614,               0.000614
                     73,                0.92463,                0.70748,                 1.3703,                0.90786,                0.79215,                0.85844,                 0.6522,                0.94694,                0.63548,                 1.4732,              0.0005942,              0.0005942,              0.0005942
                     74,                0.88163,                0.68523,                 1.3375,                0.90497,                0.79674,                 0.8589,                0.65486,                0.94544,                0.64109,                 1.4713,              0.0005942,              0.0005942,              0.0005942
                     75,                0.88068,                0.68346,                 1.3383,                0.89769,                0.80551,                0.85987,                 0.6536,                0.94103,                 0.6354,                 1.4691,              0.0005546,              0.0005546,              0.0005546
                     76,                0.87804,                0.67467,                  1.327,                0.89988,                 0.8028,                0.85846,                 0.6527,                0.94815,                0.63114,                 1.4661,              0.0005348,              0.0005348,              0.0005348
                     77,                0.87633,                0.67328,                   1.33,                0.90262,                 0.8005,                 0.8596,                0.65296,                0.94141,                0.62568,                 1.4633,               0.000515,               0.000515,               0.000515
                     78,                0.87751,                0.67394,                 1.3316,                0.90224,                0.79967,                0.86161,                0.65508,                0.93887,                0.62786,                 1.4627,              0.0004952,              0.0004952,              0.0004952
                     79,                0.86302,                0.66137,                 1.3245,                0.89874,                0.80593,                0.86272,                0.65472,                0.93546,                0.61696,                 1.4623,              0.0004754,              0.0004754,              0.0004754
                     80,                0.85668,                0.65661,                 1.3257,                0.90774,                0.80485,                 0.8618,                0.65206,                0.94279,                0.63085,                 1.4677,              0.0004556,              0.0004556,              0.0004556
                     81,                0.85314,                0.64649,                 1.3129,                0.89786,                0.80715,                0.86459,                0.65348,                0.93777,                0.62055,                 1.4667,              0.0004358,              0.0004358,              0.0004358
                     82,                0.87635,                0.66529,                 1.3302,                0.88672,                0.81177,                0.86269,                0.65635,                0.93496,                0.62206,                 1.4636,               0.000416,               0.000416,               0.000416
                     83,                 0.8658,                0.65559,                 1.3262,                0.90721,                0.79568,                0.86126,                0.65694,                0.93259,                0.61897,                 1.4572,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.8733,                0.65908,                 1.3281,                0.91918,                 0.7927,                0.86275,                0.65671,                0.93048,                0.62437,                 1.4551,              0.0003764,              0.0003764,              0.0003764
                     85,                0.86175,                0.65671,                  1.321,                0.90045,                0.80634,                0.86164,                0.65674,                0.93296,                0.62136,                 1.4578,              0.0003566,              0.0003566,              0.0003566
