                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.88163,                0.68523,                 1.3375,                0.90497,                0.79674,                 0.8589,                0.65486,                0.94544,                0.64109,                 1.4713,              0.0005942,              0.0005942,              0.0005942
                     75,                0.88068,                0.68346,                 1.3383,                0.89769,                0.80551,                0.85987,                 0.6536,                0.94103,                 0.6354,                 1.4691,              0.0005546,              0.0005546,              0.0005546
                     76,                0.87804,                0.67467,                  1.327,                0.89988,                 0.8028,                0.85846,                 0.6527,                0.94815,                0.63114,                 1.4661,              0.0005348,              0.0005348,              0.0005348
                     77,                0.87633,                0.67328,                   1.33,                0.90262,                 0.8005,                 0.8596,                0.65296,                0.94141,                0.62568,                 1.4633,               0.000515,               0.000515,               0.000515
                     78,                0.87751,                0.67394,                 1.3316,                0.90224,                0.79967,                0.86161,                0.65508,                0.93887,                0.62786,                 1.4627,              0.0004952,              0.0004952,              0.0004952
                     79,                0.86302,                0.66137,                 1.3245,                0.89874,                0.80593,                0.86272,                0.65472,                0.93546,                0.61696,                 1.4623,              0.0004754,              0.0004754,              0.0004754
                     80,                0.85668,                0.65661,                 1.3257,                0.90774,                0.80485,                 0.8618,                0.65206,                0.94279,                0.63085,                 1.4677,              0.0004556,              0.0004556,              0.0004556
                     81,                0.85314,                0.64649,                 1.3129,                0.89786,                0.80715,                0.86459,                0.65348,                0.93777,                0.62055,                 1.4667,              0.0004358,              0.0004358,              0.0004358
                     82,                0.87635,                0.66529,                 1.3302,                0.88672,                0.81177,                0.86269,                0.65635,                0.93496,                0.62206,                 1.4636,               0.000416,               0.000416,               0.000416
                     83,                 0.8658,                0.65559,                 1.3262,                0.90721,                0.79568,                0.86126,                0.65694,                0.93259,                0.61897,                 1.4572,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.8733,                0.65908,                 1.3281,                0.91918,                 0.7927,                0.86275,                0.65671,                0.93048,                0.62437,                 1.4551,              0.0003764,              0.0003764,              0.0003764
                     85,                0.86175,                0.65671,                  1.321,                0.90045,                0.80634,                0.86164,                0.65674,                0.93296,                0.62136,                 1.4578,              0.0003566,              0.0003566,              0.0003566
                     86,                0.86164,                0.65508,                 1.3225,                0.90493,                0.80217,                0.86003,                0.65637,                0.93106,                0.62465,                 1.4546,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.8672,                0.66165,                 1.3247,                0.89975,                0.80914,                 0.8634,                0.65737,                0.92678,                0.61943,                 1.4509,               0.000317,               0.000317,               0.000317
                     88,                0.85853,                0.65988,                 1.3204,                0.90078,                0.80509,                0.86358,                0.65957,                 0.9268,                0.61977,                  1.453,              0.0002972,              0.0002972,              0.0002972
                     89,                0.86968,                0.66025,                 1.3259,                0.91404,                0.79886,                0.86332,                  0.659,                0.92654,                0.61828,                 1.4507,              0.0002774,              0.0002774,              0.0002774
                     90,                0.86088,                0.65846,                 1.3183,                0.91026,                0.80342,                0.86249,                0.65844,                0.92446,                 0.6154,                 1.4491,              0.0002576,              0.0002576,              0.0002576
                     91,                0.84399,                 0.5878,                 1.3512,                0.90059,                0.80918,                0.86775,                0.66253,                0.92072,                0.60563,                 1.4466,              0.0002378,              0.0002378,              0.0002378
                     92,                0.83034,                0.57256,                 1.3392,                 0.8995,                0.80885,                0.87002,                0.66365,                0.91637,                 0.6032,                 1.4397,               0.000218,               0.000218,               0.000218
                     93,                0.82201,                0.56354,                 1.3343,                0.90409,                0.80718,                0.86962,                0.66457,                0.91164,                0.59985,                 1.4377,              0.0001982,              0.0001982,              0.0001982
                     94,                0.81743,                0.55703,                 1.3303,                0.90941,                0.80342,                 0.8698,                0.66541,                0.90923,                0.59982,                 1.4353,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.8061,                0.54775,                 1.3161,                0.90817,                0.80134,                0.86958,                0.66676,                0.91017,                0.59903,                 1.4363,              0.0001586,              0.0001586,              0.0001586
                     96,                0.79995,                0.54637,                 1.3145,                0.91098,                0.80297,                0.87158,                0.66762,                0.91043,                0.59649,                 1.4351,              0.0001388,              0.0001388,              0.0001388
                     97,                0.80925,                0.54898,                 1.3179,                 0.9124,                0.79985,                 0.8708,                0.66775,                0.90818,                0.59782,                 1.4332,               0.000119,               0.000119,               0.000119
                     98,                0.80394,                 0.5399,                 1.3133,                0.91468,                0.79642,                0.86958,                 0.6683,                0.90446,                0.59619,                 1.4306,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.79886,                0.54023,                 1.3077,                0.91926,                0.79549,                0.86966,                0.66899,                0.90291,                0.59406,                 1.4299,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.79288,                0.53662,                 1.3054,                 0.9112,                0.80426,                0.87095,                0.67005,                0.90113,                 0.5939,                 1.4279,               5.96e-05,               5.96e-05,               5.96e-05
