                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.6578,                 6.4069,                 4.3905,                0.00026,                0.07692,                0.00016,                  4e-05,                 4.3249,                 5.6863,                 4.1436,                 0.0865,                 0.0015,                 0.0015
                      1,                 4.4004,                 5.1612,                 4.3799,                0.00026,                0.07692,                0.00016,                  4e-05,                 4.2996,                 5.6578,                 4.1244,               0.072039,              0.0030386,              0.0030386
                      2,                 4.4212,                 4.8461,                 4.2536,                0.00026,                0.07692,                0.00017,                  4e-05,                 4.2724,                 4.2464,                 4.1043,               0.057514,              0.0045139,              0.0045139
                      3,                 4.1557,                 4.5384,                 4.1854,                0.00026,                0.07692,                0.00017,                  4e-05,                 4.2592,                 4.2452,                 4.0948,               0.042926,              0.0059258,              0.0059258
                      4,                 4.2315,                 4.4788,                 4.0828,                0.00026,                0.07692,                0.00017,                  4e-05,                  4.255,                 4.3133,                 4.0915,               0.028274,              0.0072743,              0.0072743
                      5,                 4.0076,                 4.2577,                 3.8854,                0.00026,                0.07692,                0.00017,                  4e-05,                 4.2535,                 4.3786,                 4.0929,                0.01356,              0.0085595,              0.0085595
                      6,                 3.8061,                 4.0058,                 3.7177,                0.00112,                0.15385,                 0.0017,                 0.0005,                 3.7908,                 4.1831,                 3.9007,               0.008812,               0.008812,               0.008812
                      7,                 3.4965,                 3.8842,                 3.5422,                0.00063,                0.17949,                0.00041,                0.00014,                 4.0993,                    inf,                 7.4732,               0.008812,               0.008812,               0.008812
                      8,                 3.5507,                 3.6869,                 3.3779,                0.00188,                0.02564,                0.00132,                0.00065,                 4.0481,                 101.63,                 8.1064,               0.008614,               0.008614,               0.008614
                      9,                 3.2086,                 3.5181,                  3.272,                0.00742,                0.02564,                0.00069,                0.00018,                 4.0909,                 5.9301,                  8.912,               0.008416,               0.008416,               0.008416
                     10,                 3.1878,                 3.4321,                 3.1933,                0.00277,                0.02564,                0.00124,                0.00029,                 3.5233,                 5.4655,                 7.4022,               0.008218,               0.008218,               0.008218
                     11,                 3.1783,                 3.0822,                 3.0108,                0.04835,                0.17949,                0.04088,                0.01466,                 3.4955,                 28.902,                 9.1782,                0.00802,                0.00802,                0.00802
                     12,                 2.9999,                 2.9549,                 2.9744,                0.02276,                0.05128,                0.00291,                0.00089,                 3.7675,                 10.956,                 7.9119,               0.007822,               0.007822,               0.007822
                     13,                 2.8397,                   2.75,                 2.8445,                 0.2593,                0.20513,                0.17919,                0.06131,                 2.7119,                  8.311,                 3.7302,               0.007624,               0.007624,               0.007624
                     14,                 2.7679,                 2.6232,                  2.871,                0.13483,                0.30769,                0.14008,                0.04235,                 2.8622,                 52.825,                  3.787,               0.007426,               0.007426,               0.007426
                     15,                 2.6928,                 2.3479,                 2.7029,                   0.31,                0.30769,                0.22163,                0.06583,                 2.8482,                 9.3191,                  3.604,               0.007228,               0.007228,               0.007228
                     16,                 2.5547,                 2.1587,                 2.5993,                0.21632,                 0.4359,                0.25742,                0.09827,                 2.4405,                 2.6459,                  2.907,                0.00703,                0.00703,                0.00703
                     17,                 2.4516,                 2.0882,                 2.5329,                0.47122,                0.38462,                0.37913,                0.14567,                 2.2806,                 3.6279,                 2.8217,               0.006832,               0.006832,               0.006832
                     18,                 2.3919,                 2.0161,                 2.4787,                0.69173,                0.40298,                0.47822,                 0.1679,                 2.1181,                 2.1055,                 2.6108,               0.006634,               0.006634,               0.006634
                     19,                 2.3313,                 2.0377,                 2.4649,                0.33838,                0.55088,                0.37522,                0.14136,                 2.2161,                 2.2166,                 2.6476,               0.006436,               0.006436,               0.006436
                     20,                 2.2046,                  1.925,                 2.3789,                 0.5336,                0.46952,                0.53264,                0.25917,                 2.1054,                 2.5242,                 2.5416,               0.006238,               0.006238,               0.006238
                     21,                 2.1364,                 1.8229,                  2.279,                0.13652,                0.38462,                0.15703,                0.06923,                 2.2262,                 15.246,                 2.8726,                0.00604,                0.00604,                0.00604
                     22,                 2.2047,                 1.7534,                 2.3432,                0.52606,                0.64103,                0.56942,                0.24842,                 1.9756,                 1.8843,                 2.3439,               0.005842,               0.005842,               0.005842
                     23,                 2.1181,                 1.7662,                 2.2862,                0.58638,                 0.5641,                0.60351,                0.27424,                 1.8337,                 1.8431,                 2.3618,               0.005644,               0.005644,               0.005644
                     24,                 2.0088,                 1.5897,                 2.1612,                0.78449,                0.56014,                0.65643,                0.31125,                 2.0523,                 1.9692,                 2.3661,               0.005446,               0.005446,               0.005446
